MtrunA17_CPg0492191	Medtr4g006140
MtrunA17_CPg0492211	Medtr4g006135
MtrunA17_CPg0492211	Medtr4g050945
MtrunA17_CPg0492211	Medtr4g103805
MtrunA17_CPg0492211	Medtr7g021745
MtrunA17_CPg0492221	Medtr4g006130
MtrunA17_CPg0492231	Medtr4g050950
MtrunA17_CPg0492231	Medtr4g006120
MtrunA17_CPg0492241	Medtr4g050960
MtrunA17_CPg0492251	Medtr4g050960
MtrunA17_CPg0492251	Medtr4g006110
MtrunA17_CPg0492261	Medtr4g006110
MtrunA17_CPg0492261	Medtr6g042220
MtrunA17_CPg0492271	Medtr4g050810
MtrunA17_CPg0492271	Medtr6g042210
MtrunA17_CPg0492291	Medtr4g006100
MtrunA17_CPg0492301	Medtr4g006090
MtrunA17_CPg0492301	Medtr6g042190
MtrunA17_CPR0000020	Medtr4g006090
MtrunA17_CPR0000020	Medtr6g042190
MtrunA17_CPg0492361	Medtr4g129350
MtrunA17_CPg0492361	Medtr4g006050
MtrunA17_CPg0492361	Medtr3g035630
MtrunA17_CPg0492371	Medtr3g035640
MtrunA17_CPg0492371	Medtr4g006040
MtrunA17_CPg0492431	Medtr3g035660
MtrunA17_CPg0492431	Medtr1g088510
MtrunA17_CPg0492461	Medtr4g051440
MtrunA17_CPg0492471	Medtr3g035665
MtrunA17_CPg0492471	Medtr5g050945
MtrunA17_CPg0492471	Medtr5g051195
MtrunA17_CPg0492491	Medtr3g035695
MtrunA17_CPg0492491	Medtr4g047705
MtrunA17_CPg0492491	Medtr4g047915
MtrunA17_CPg0492491	Medtr4g051425
MtrunA17_CPg0492501	Medtr3g035700
MtrunA17_CPg0492501	Medtr4g051430
MtrunA17_CPg0492514	Medtr4g051430
MtrunA17_CPg0492514	Medtr4g034730
MtrunA17_CPg0492541	Medtr3g035720
MtrunA17_CPg0492541	Medtr4g051420
MtrunA17_CPg0492551	Medtr4g034740
MtrunA17_CPg0492551	Medtr4g051410
MtrunA17_CPg0492581	Medtr4g034750
MtrunA17_CPg0492581	Medtr4g051400
MtrunA17_CPg0492581	Medtr2g087560
MtrunA17_CPR0000150	Medtr2g087560
MtrunA17_CPg0492591	Medtr4g034820
MtrunA17_CPg0492591	Medtr4g051390
MtrunA17_CPg0492601	Medtr4g034810
MtrunA17_CPg0492611	Medtr4g034810
MtrunA17_CPg0492641	Medtr4g034800
MtrunA17_CPg0492641	Medtr4g051380
MtrunA17_CPg0492651	Medtr4g034790
MtrunA17_CPg0492711	Medtr4g051370
MtrunA17_CPg0492721	Medtr4g034690
MtrunA17_CPg0492731	Medtr4g034690
MtrunA17_CPg0492761	Medtr4g034720
MtrunA17_CPg0492771	Medtr4g051350
MtrunA17_CPg0492781	Medtr4g051350
MtrunA17_CPg0492791	Medtr4g050840
MtrunA17_CPg0492811	Medtr4g050840
MtrunA17_CPg0492851	Medtr4g034760
MtrunA17_CPg0492851	Medtr4g050860
MtrunA17_CPg0492871	Medtr4g034760
MtrunA17_CPg0492871	Medtr4g050860
MtrunA17_CPg0492881	Medtr4g034770
MtrunA17_CPg0492891	Medtr4g034780
MtrunA17_CPg0492891	Medtr4g050870
MtrunA17_CPg0492891	Medtr6g091170
MtrunA17_CPg0492901	Medtr4g034830
MtrunA17_CPg0492901	Medtr4g050880
MtrunA17_CPg0492931	Medtr4g034836
MtrunA17_CPg0492931	Medtr6g091155
MtrunA17_CPg0492951	Medtr4g034837
MtrunA17_CPg0492971	Medtr4g051110
MtrunA17_CPg0492991	Medtr4g034700
MtrunA17_CPg0493001	Medtr4g034840
MtrunA17_CPg0493001	Medtr4g051120
MtrunA17_CPg0493021	Medtr3g062770
MtrunA17_CPg0493021	Medtr3g062790
MtrunA17_CPg0493021	Medtr4g051130
MtrunA17_CPg0493041	Medtr4g051130
MtrunA17_CPg0493041	Medtr4g034670
